Plate,Plate ID,Well,Well Number,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Cell Type,Gene Symbol,Comment [Gene Comments],Gene Identifier,RefSeq Accession,RefSeq GI Number,Control Type,Duplex Number 1,Duplex Number 2,Duplex Number 3,Duplex Number 4,Reagent Design Gene Annotation Build,Analysis Gene Annotation Build,Comment [Image File Path]
Hs578T_Val-2393a,2393a,D5,41,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,AATK,,9625,NM_001080395,122937190,,,D-005301-03,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2393a
Hs578T_Val-2393a,2393a,D4,40,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,AATK,,9625,NM_001080395,122937190,,,,D-005301-04,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2393a
Hs578T_Val-2393c,2393c,D4,40,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,AATK,,9625,NM_001080395,122937190,,,,D-005301-04,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2393c
Hs578T_Val-2393d,2393d,D4,40,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,AATK,,9625,NM_001080395,122937190,,,,D-005301-04,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2393d
Hs578T_Val-2393c,2393c,D6,42,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,AATK,,9625,NM_001080395,122937190,,D-005301-02,,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2393c
Hs578T_Val-2393d,2393d,D6,42,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,AATK,,9625,NM_001080395,122937190,,D-005301-02,,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2393d
Hs578T_Val-2393d,2393d,D5,41,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,AATK,,9625,NM_001080395,122937190,,,D-005301-03,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2393d
Hs578T_Val-2393c,2393c,D5,41,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,AATK,,9625,NM_001080395,122937190,,,D-005301-03,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2393c
Hs578T_Val-2393b,2393b,D6,42,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,AATK,,9625,NM_001080395,122937190,,D-005301-02,,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2393b
Hs578T_Val-2393a,2393a,D6,42,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,AATK,,9625,NM_001080395,122937190,,D-005301-02,,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2393a
MDA231_Val-2393a,2393a,D3,39,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AATK,,9625,NM_001080395,122937190,,,,,D-005301-05,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2393a
MDA231_Val-2393b,2393b,D3,39,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AATK,,9625,NM_001080395,122937190,,,,,D-005301-05,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2393b
MDA231_Val-2393b,2393b,D2,38,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,smartpool,AATK,,9625,NM_001080395,122937190,,D-005301-02,D-005301-03,D-005301-04,D-005301-05,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2393b
MDA231_Val-2393c,2393c,D2,38,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,smartpool,AATK,,9625,NM_001080395,122937190,,D-005301-02,D-005301-03,D-005301-04,D-005301-05,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2393c
MDA231_Val-2393a,2393a,D2,38,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,smartpool,AATK,,9625,NM_001080395,122937190,,D-005301-02,D-005301-03,D-005301-04,D-005301-05,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2393a
MDA231_Val-2393d,2393d,D2,38,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,smartpool,AATK,,9625,NM_001080395,122937190,,D-005301-02,D-005301-03,D-005301-04,D-005301-05,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2393d
MDA231_Val-2393d,2393d,D3,39,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AATK,,9625,NM_001080395,122937190,,,,,D-005301-05,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2393d
MDA231_Val-2393c,2393c,D3,39,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AATK,,9625,NM_001080395,122937190,,,,,D-005301-05,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2393c
MDA231_Val-2393b,2393b,D4,40,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AATK,,9625,NM_001080395,122937190,,,,D-005301-04,,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2393b
MDA231_Val-2393a,2393a,D4,40,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AATK,,9625,NM_001080395,122937190,,,,D-005301-04,,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2393a
MDA231_Val-2393d,2393d,D4,40,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AATK,,9625,NM_001080395,122937190,,,,D-005301-04,,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2393d
MDA231_Val-2393c,2393c,D4,40,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AATK,,9625,NM_001080395,122937190,,,,D-005301-04,,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2393c
MDA231_Val-2393c,2393c,D6,42,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AATK,,9625,NM_001080395,122937190,,D-005301-02,,,,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2393c
MDA231_Val-2393d,2393d,D5,41,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AATK,,9625,NM_001080395,122937190,,,D-005301-03,,,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2393d
MDA231_Val-2393a,2393a,D5,41,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AATK,,9625,NM_001080395,122937190,,,D-005301-03,,,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2393a
MDA231_Val-2393c,2393c,D5,41,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AATK,,9625,NM_001080395,122937190,,,D-005301-03,,,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2393c
MDA231_Val-2393b,2393b,D5,41,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AATK,,9625,NM_001080395,122937190,,,D-005301-03,,,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2393b
MDA231_Val-2393d,2393d,D6,42,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AATK,,9625,NM_001080395,122937190,,D-005301-02,,,,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2393d
MDA231_Val-2393a,2393a,D6,42,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AATK,,9625,NM_001080395,122937190,,D-005301-02,,,,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2393a
MDA231_Val-2393b,2393b,D6,42,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AATK,,9625,NM_001080395,122937190,,D-005301-02,,,,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2393b
MDA231_plate_96d,96d,D8,44,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ABRA,,137735,NM_139166,141802744,,,,,D-018709-04,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_96d
MDA231_plate_96a,96a,F11,71,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,smartpool,ABRA,,137735,NM_139166,141802744,,D-018709-01,D-018709-02,D-018709-03,D-018709-04,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_96a
MDA231_plate_96c,96c,F11,71,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,smartpool,ABRA,,137735,NM_139166,141802744,,D-018709-01,D-018709-02,D-018709-03,D-018709-04,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_96c
MDA231_plate_96b,96b,F11,71,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,smartpool,ABRA,,137735,NM_139166,141802744,,D-018709-01,D-018709-02,D-018709-03,D-018709-04,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_96b
MDA231_plate_96d,96d,F11,71,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,smartpool,ABRA,,137735,NM_139166,141802744,,D-018709-01,D-018709-02,D-018709-03,D-018709-04,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_96d
MDA231_plate_96c,96c,D8,44,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ABRA,,137735,NM_139166,141802744,,,,,D-018709-04,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_96c
MDA231_plate_96a,96a,D8,44,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ABRA,,137735,NM_139166,141802744,,,,,D-018709-04,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_96a
MDA231_plate_96b,96b,D8,44,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ABRA,,137735,NM_139166,141802744,,,,,D-018709-04,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_96b
MDA231_plate_96d,96d,A8,8,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ABRA,,137735,NM_139166,141802744,,,,D-018709-03,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_96d
MDA231_plate_96c,96c,A8,8,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ABRA,,137735,NM_139166,141802744,,,,D-018709-03,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_96c
MDA231_plate_96b,96b,A8,8,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ABRA,,137735,NM_139166,141802744,,,,D-018709-03,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_96b
MDA231_plate_96a,96a,A8,8,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ABRA,,137735,NM_139166,141802744,,,,D-018709-03,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_96a
MDA231_plate_96a,96a,C4,28,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ABRA,,137735,NM_139166,141802744,,,D-018709-02,,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_96a
MDA231_plate_96b,96b,C4,28,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ABRA,,137735,NM_139166,141802744,,,D-018709-02,,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_96b
MDA231_plate_96d,96d,F3,63,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ABRA,,137735,NM_139166,141802744,,D-018709-01,,,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_96d
MDA231_plate_96d,96d,C4,28,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ABRA,,137735,NM_139166,141802744,,,D-018709-02,,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_96d
MDA231_plate_96c,96c,C4,28,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ABRA,,137735,NM_139166,141802744,,,D-018709-02,,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_96c
MDA231_plate_96c,96c,F3,63,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ABRA,,137735,NM_139166,141802744,,D-018709-01,,,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_96c
MDA231_plate_96a,96a,F3,63,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ABRA,,137735,NM_139166,141802744,,D-018709-01,,,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_96a
MDA231_plate_96b,96b,F3,63,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ABRA,,137735,NM_139166,141802744,,D-018709-01,,,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_96b
Hs578T_Val-2489a,2489a,B2,14,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,smartpool,ACTN2,,88,NM_001103,161377421,,D-011196-01,D-011196-02,D-011196-03,D-011196-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2489a
Hs578T_Val-2489c,2489c,B2,14,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,smartpool,ACTN2,,88,NM_001103,161377421,,D-011196-01,D-011196-02,D-011196-03,D-011196-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2489c
Hs578T_Val-2489c,2489c,D4,40,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ACTN2,,88,NM_001103,161377421,,,,,D-011196-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2489c
Hs578T_Val-2489d,2489d,D4,40,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ACTN2,,88,NM_001103,161377421,,,,,D-011196-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2489d
Hs578T_Val-2489d,2489d,B2,14,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,smartpool,ACTN2,,88,NM_001103,161377421,,D-011196-01,D-011196-02,D-011196-03,D-011196-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2489d
Hs578T_Val-2489a,2489a,D4,40,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ACTN2,,88,NM_001103,161377421,,,,,D-011196-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2489a
Hs578T_Val-2489b,2489b,B2,14,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,smartpool,ACTN2,,88,NM_001103,161377421,,D-011196-01,D-011196-02,D-011196-03,D-011196-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2489b
Hs578T_Val-2489b,2489b,D4,40,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ACTN2,,88,NM_001103,161377421,,,,,D-011196-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2489b
Hs578T_Val-2489d,2489d,F11,71,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ACTN2,,88,NM_001103,161377421,,,,D-011196-03,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2489d
Hs578T_Val-2489b,2489b,F11,71,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ACTN2,,88,NM_001103,161377421,,,,D-011196-03,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2489b
Hs578T_Val-2489a,2489a,F11,71,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ACTN2,,88,NM_001103,161377421,,,,D-011196-03,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2489a
Hs578T_Val-2489c,2489c,F11,71,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ACTN2,,88,NM_001103,161377421,,,,D-011196-03,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2489c
Hs578T_Val-2489d,2489d,D2,38,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ACTN2,,88,NM_001103,161377421,,D-011196-01,,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2489d
Hs578T_Val-2489c,2489c,B8,20,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ACTN2,,88,NM_001103,161377421,,,D-011196-02,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2489c
Hs578T_Val-2489d,2489d,B8,20,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ACTN2,,88,NM_001103,161377421,,,D-011196-02,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2489d
Hs578T_Val-2489c,2489c,D2,38,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ACTN2,,88,NM_001103,161377421,,D-011196-01,,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2489c
Hs578T_Val-2489a,2489a,B8,20,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ACTN2,,88,NM_001103,161377421,,,D-011196-02,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2489a
Hs578T_Val-2489b,2489b,B8,20,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ACTN2,,88,NM_001103,161377421,,,D-011196-02,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2489b
Hs578T_Val-2489a,2489a,D2,38,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ACTN2,,88,NM_001103,161377421,,D-011196-01,,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2489a
Hs578T_Val-2489b,2489b,D2,38,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ACTN2,,88,NM_001103,161377421,,D-011196-01,,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2489b
MDA231_plate_91b,91b,H11,95,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,smartpool,ACVR1,,90,NM_001105,10862690,,D-004924-01,D-004924-02,D-004924-03,D-004924-18,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_91b
MDA231_plate_91b,91b,G3,75,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ACVR1,,90,NM_001105,10862690,,,,,D-004924-18,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_91b
MDA231_plate_91a,91a,H11,95,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,smartpool,ACVR1,,90,NM_001105,10862690,,D-004924-01,D-004924-02,D-004924-03,D-004924-18,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_91a
MDA231_plate_91a,91a,G3,75,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ACVR1,,90,NM_001105,10862690,,,,,D-004924-18,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_91a
MDA231_plate_91d,91d,H11,95,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,smartpool,ACVR1,,90,NM_001105,10862690,,D-004924-01,D-004924-02,D-004924-03,D-004924-18,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_91d
MDA231_plate_91d,91d,G3,75,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ACVR1,,90,NM_001105,10862690,,,,,D-004924-18,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_91d
MDA231_plate_91c,91c,H11,95,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,smartpool,ACVR1,,90,NM_001105,10862690,,D-004924-01,D-004924-02,D-004924-03,D-004924-18,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_91c
MDA231_plate_91c,91c,G3,75,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ACVR1,,90,NM_001105,10862690,,,,,D-004924-18,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_91c
MDA231_plate_91d,91d,F7,67,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ACVR1,,90,NM_001105,10862690,,,,D-004924-03,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_91d
MDA231_plate_91c,91c,F7,67,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ACVR1,,90,NM_001105,10862690,,,,D-004924-03,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_91c
MDA231_plate_91b,91b,F7,67,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ACVR1,,90,NM_001105,10862690,,,,D-004924-03,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_91b
MDA231_plate_91a,91a,F7,67,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ACVR1,,90,NM_001105,10862690,,,,D-004924-03,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_91a
MDA231_plate_91c,91c,C4,28,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ACVR1,,90,NM_001105,10862690,,,D-004924-02,,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_91c
